ID,COMMENT,CREATE_AT,RATING,PRODUCT_ID,USER_ID
,"Rất sản phẩm này. Chất lượng tốt.",2023-08-01 09:00:00,5,1,1
,"Hàng đẹp, giao hàng nhanh.",2023-08-02 10:30:00,4,1,2
,"Sản phẩm không đúng như hình.",2023-08-03 11:45:00,2,1,3
,"Hài lòng với sản phẩm.",2023-08-04 13:15:00,5,1,4
,"Sản phẩm tốt và giá hợp lý.",2023-08-05 14:30:00,5,1,5
,"Giao hàng chậm.",2023-08-06 15:20:00,3,2,6
,"Chất lượng sản phẩm không tốt.",2023-08-07 16:10:00,2,2,7
,"Sản phẩm đẹp và đúng mô tả.",2023-08-08 17:25:00,4,2,8
,"Hàng chuẩn, giao hàng nhanh.",2023-08-09 18:40:00,5,2,9
,"Sản phẩm tệ hại.",2023-08-10 19:55:00,1,2,10
,"Sản phẩm dễ dàng sử dụng.",2023-08-11 20:45:00,4,3,11
,"Sản phẩm đẹp, giao hàng nhanh.",2023-08-12 21:30:00,5,3,12
,"Sản phẩm không tốt, hỏng hóc.",2023-08-13 22:15:00,1,3,13
,"Hàng đẹp và giá rẻ.",2023-08-14 23:00:00,4,3,14
,"Sản phẩm không đúng mô tả.",2023-08-15 09:00:00,2,3,15
,"Chất lượng sản phẩm ổn.",2023-08-16 10:30:00,3,3,16
,"Sản phẩm tốt nhưng giao hàng lâu.",2023-08-17 11:45:00,4,4,17
,"Không hài lòng về sản phẩm.",2023-08-18 13:15:00,2,4,18
,"Sản phẩm đáng giá tiền.",2023-08-19 14:30:00,5,4,19
,"Hàng chuẩn, giao hàng nhanh.",2023-08-20 15:20:00,5,4,20
,"Rất sản phẩm này. Chất lượng tốt.",2023-08-01 09:00:00,5,4,1
,"Hàng đẹp, giao hàng nhanh.",2023-08-02 10:30:00,4,4,2
,"Sản phẩm không đúng như hình.",2023-08-03 11:45:00,2,5,3
,"Hài lòng với sản phẩm.",2023-08-04 13:15:00,5,5,4
,"Sản phẩm tốt và giá hợp lý.",2023-08-05 14:30:00,5,5,5
,"Giao hàng chậm.",2023-08-06 15:20:00,3,5,6
,"Chất lượng sản phẩm không tốt.",2023-08-07 16:10:00,2,5,7
,"Sản phẩm đẹp và đúng mô tả.",2023-08-08 17:25:00,4,5,8
,"Hàng chuẩn, giao hàng nhanh.",2023-08-09 18:40:00,5,5,9
,"Sản phẩm tệ hại.",2023-08-10 19:55:00,1,6,10
,"Sản phẩm dễ dàng sử dụng.",2023-08-11 20:45:00,4,6,11
,"Sản phẩm đẹp, giao hàng nhanh.",2023-08-12 21:30:00,5,6,12
,"Sản phẩm không tốt, hỏng hóc.",2023-08-13 22:15:00,1,6,13
,"Hàng đẹp và giá rẻ.",2023-08-14 23:00:00,4,6,14
,"Sản phẩm không đúng mô tả.",2023-08-15 09:00:00,2,6,15
,"Chất lượng sản phẩm ổn.",2023-08-16 10:30:00,3,6,16
,"Sản phẩm tốt nhưng giao hàng lâu.",2023-08-17 11:45:00,4,7,17
,"Không hài lòng về sản phẩm.",2023-08-18 13:15:00,2,7,18
,"Sản phẩm đáng giá tiền.",2023-08-19 14:30:00,5,7,19
,"Hàng chuẩn, giao hàng nhanh.",2023-08-20 15:20:00,5,7,20
,"Rất sản phẩm này. Chất lượng tốt.",2023-08-01 09:00:00,5,7,1
,"Hàng đẹp, giao hàng nhanh.",2023-08-02 10:30:00,4,7,2
,"Sản phẩm không đúng như hình.",2023-08-03 11:45:00,2,8,3
,"Hài lòng với sản phẩm.",2023-08-04 13:15:00,5,8,4
,"Sản phẩm tốt và giá hợp lý.",2023-08-05 14:30:00,5,8,5
,"Giao hàng chậm.",2023-08-06 15:20:00,3,8,6
,"Chất lượng sản phẩm không tốt.",2023-08-07 16:10:00,2,8,7
,"Sản phẩm đẹp và đúng mô tả.",2023-08-08 17:25:00,4,8,8
,"Hàng chuẩn, giao hàng nhanh.",2023-08-09 18:40:00,5,9,9
,"Sản phẩm tệ hại.",2023-08-10 19:55:00,1,9,10
